At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
Oxford,Postdoctoral Researcher / Research Fellow,Competent Practitioner,Mainly used for computer vision,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),,Would like to learn (on my own),Not interested,Would like to learn (on my own),Already familiar with,Not interested,"Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Postdoctoral Researcher / Research Fellow,Expert,"> 10 years experience, but mostly just with core MATLAB",Competent Practitioner,"I can do basic OOP, but things like templates in C++ elude me",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,I don't use Live Scripts very much as feel sluggish to me compared to using scripts. They are great for teaching though.,git's command line interface,"I use git for shared code between projects, but each project tends to just be small number of .m files that I work on more or less directly, with weekly backups.","Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)","Apps/Live Scripts in MATLAB don't integrate especially well with git. I don't feel up to writing/hunting down a wrapper for git that extracts the .mlx into something that diffs work on. Live Scripts (at least for me on Ubuntu) seem to scroll slower, e.g., and be more inconvenient to rapidly iterate through code changes with. Plots in Live Scripts also don't seem to work as well, e.g., clf doesn't seem to work (or at least I don't understand how it does).",Would like to learn (on my own),Would like to learn (on my own),Already familiar with,,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,"In-person lecture, In-person practical, Written tutorials, Blogs","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
University of Leeds,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,"Aware of and use outside MATLAB, Aware of but don't use",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",Version control does not appear to be intuitive or well publicised in MATLAB.
Earth and Environment,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials",Official documentation,"The great advantage of MatLab is its IDE and all work environment around with a lot of material available in one place, making it very user friendly for new users."
,"Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,git's command line interface,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) lecture, Remote (online) practical, Video tutorials, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Leeds,Postdoctoral Researcher / Research Fellow,Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,,If it seemed easy to integrate into work.,Would like to learn (on my own),Not interested,Would like to learn (on my own),Already familiar with,Not interested,Already familiar with,Already familiar with,"In-person practical, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Netherlands eScience Center,"Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (in structured training),Already familiar with,Already familiar with,Already familiar with,Not interested,Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical, Written tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Leeds,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical, Written tutorials, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
UCL,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,,,,,,Would like to learn (on my own),Would like to learn (on my own),Not interested,Not interested,Not interested,Not interested,,Online Q&A/Forums/Stack Overflow/MATLAB Central,
British Geological Survey,Academic Researcher or Lecturer,Expert,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Custom toolbox development",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
